FLT_DATE;APT_ICAO;DEST_APT_ICAO;APT_NAME;STATE_NAME;FLT_DEP_1;DLY_ATC_PRE_2
2025-01-01;BIKF;BIKF;Keflavik;Iceland;68;0
2025-01-01;EBAW;EBAW;Antwerp;Belgium;4;
2025-01-01;EBBR;EBBR;Brussels;Belgium;216;154
2025-01-01;EBCI;EBCI;Charleroi;Belgium;94;0
2025-01-01;EBLG;EBLG;Liege;Belgium;17;
2025-01-01;EBOS;EBOS;Ostend-Bruges;Belgium;4;
2025-01-01;EDDB;EDDB;Berlin - Brandenburg;Germany;211;92
2025-01-01;EDDC;EDDC;Dresden;Germany;6;
2025-01-01;EDDE;EDDE;Erfurt;Germany;1;0
2025-01-01;EDDF;EDDF;Frankfurt;Germany;434;65
2025-01-01;EDDG;EDDG;Muenster-Osnabrueck;Germany;7;
2025-01-01;EDDH;EDDH;Hamburg;Germany;106;26
2025-01-01;EDDK;EDDK;Cologne-Bonn;Germany;73;
2025-01-01;EDDL;EDDL;Dusseldorf;Germany;124;23
2025-01-01;EDDM;EDDM;Munich;Germany;312;2
2025-01-01;EDDN;EDDN;Nuremberg;Germany;30;0
2025-01-01;EDDP;EDDP;Leipzig-Halle;Germany;40;0
2025-01-01;EDDR;EDDR;Saarbruecken;Germany;3;0
2025-01-01;EDDS;EDDS;Stuttgart;Germany;66;0
2025-01-01;EDDV;EDDV;Hanover;Germany;37;
2025-01-01;EDDW;EDDW;Bremen;Germany;18;0
2025-01-01;EETN;EETN;Tallinn;Estonia;32;0
2025-01-01;EETU;EETU;Tartu;Estonia;1;
2025-01-01;EFHK;EFHK;Helsinki - Vantaa;Finland;161;61
2025-01-01;EGAA;EGAA;Belfast - Aldergrove;United Kingdom;63;
2025-01-01;EGAC;EGAC;Belfast - City Airport;United Kingdom;35;
2025-01-01;EGAE;EGAE;Londonderry - Eglinton;United Kingdom;1;
2025-01-01;EGBB;EGBB;Birmingham;United Kingdom;84;17
2025-01-01;EGCC;EGCC;Manchester;United Kingdom;205;
2025-01-01;EGGD;EGGD;Bristol;United Kingdom;73;23
2025-01-01;EGGW;EGGW;London - Luton;United Kingdom;135;48
2025-01-01;EGHI;EGHI;Southampton;United Kingdom;10;
2025-01-01;EGKB;EGKB;Biggin Hill;United Kingdom;19;
2025-01-01;EGKK;EGKK;London - Gatwick;United Kingdom;315;
2025-01-01;EGLC;EGLC;London - City;United Kingdom;49;0
2025-01-01;EGLF;EGLF;Farnborough;United Kingdom;10;
2025-01-01;EGLL;EGLL;London - Heathrow;United Kingdom;604;
2025-01-01;EGNT;EGNT;Newcastle;United Kingdom;36;
2025-01-01;EGNX;EGNX;East Midlands;United Kingdom;21;
2025-01-01;EGPD;EGPD;Aberdeen;United Kingdom;21;0
2025-01-01;EGPF;EGPF;Glasgow;United Kingdom;53;0
2025-01-01;EGPH;EGPH;Edinburgh;United Kingdom;117;
2025-01-01;EGSS;EGSS;London - Stansted;United Kingdom;242;163
2025-01-01;EHAM;EHAM;Amsterdam - Schiphol;Netherlands;593;
2025-01-01;EHBK;EHBK;Maastricht-Aachen;Netherlands;4;
2025-01-01;EHRD;EHRD;Rotterdam;Netherlands;22;
2025-01-01;EICK;EICK;Cork;Ireland;29;
2025-01-01;EIDL;EIDL;Donegal;Ireland;1;
2025-01-01;EIDW;EIDW;Dublin;Ireland;210;139
2025-01-01;EIKN;EIKN;Connaught;Ireland;8;
2025-01-01;EIKY;EIKY;Kerry - Farranfore;Ireland;3;
2025-01-01;EINN;EINN;Shannon;Ireland;19;
2025-01-01;EKCH;EKCH;Copenhagen - Kastrup;Denmark;217;0
2025-01-01;ELLX;ELLX;Luxembourg;Luxembourg;72;13
2025-01-01;ENAL;ENAL;Alesund;Norway;13;
2025-01-01;ENAN;ENAN;Andenes;Norway;3;
2025-01-01;ENAT;ENAT;Alta;Norway;12;
2025-01-01;ENBL;ENBL;Forde Bringeland;Norway;2;
2025-01-01;ENBN;ENBN;Bronnoysund Bronnoy;Norway;6;
2025-01-01;ENBO;ENBO;BodĂ¸;Norway;35;
2025-01-01;ENBR;ENBR;Bergen;Norway;82;0
2025-01-01;ENBS;ENBS;Batsfjord;Norway;2;
2025-01-01;ENBV;ENBV;BerlevĂĄg;Norway;2;
2025-01-01;ENCN;ENCN;Kristiansand Kjevik;Norway;7;
2025-01-01;ENDU;ENDU;Bardufoss;Norway;1;
2025-01-01;ENEV;ENEV;Harstad - Narvik Evenes;Norway;11;
2025-01-01;ENFL;ENFL;FlorĂ¸;Norway;5;
2025-01-01;ENGM;ENGM;Oslo - Gardermoen;Norway;211;18
2025-01-01;ENHD;ENHD;Haugesund;Norway;4;
2025-01-01;ENHF;ENHF;Hammerfest;Norway;6;
2025-01-01;ENHV;ENHV;HonningsvĂĄg Valan;Norway;2;
2025-01-01;ENKB;ENKB;Kristiansund Kvernberget;Norway;11;
2025-01-01;ENKR;ENKR;Kirkenes HĂ¸ybuktmoen;Norway;13;
2025-01-01;ENLK;ENLK;Leknes;Norway;5;
2025-01-01;ENMH;ENMH;Mehamn;Norway;3;
2025-01-01;ENML;ENML;Molde Ă…rĂ¸;Norway;5;
2025-01-01;ENMS;ENMS;MosjĂ¸en KjĂ¦rstad;Norway;2;
2025-01-01;ENNA;ENNA;Lakselv Banak;Norway;4;
2025-01-01;ENNM;ENNM;Namsos HĂ¸knesĂ¸ra;Norway;1;
2025-01-01;ENOV;ENOV;OrstaÂżVolda Hovden;Norway;4;
2025-01-01;ENRA;ENRA;Mo i Rana RĂ¸ssvoll;Norway;4;
2025-01-01;ENRM;ENRM;Rorvik Ryum;Norway;3;
2025-01-01;ENRO;ENRO;Roros;Norway;1;
2025-01-01;ENRS;ENRS;Rost;Norway;1;
2025-01-01;ENSB;ENSB;Svalbard Longyear;Norway;1;
2025-01-01;ENSD;ENSD;Sandane  Anda;Norway;2;
2025-01-01;ENSG;ENSG;Sogndal HaukĂĄsen;Norway;5;
